			"AGREE(back,nonlocal)"	"AGREE(front,local)"	"AGREE(nonhigh_front,local)"	"AGREE(low_front,local)"	"AGREE(double_front,local)"	USE_FRONT/bilabial__	"USE_FRONT/[+cor,+son]__"	USE_FRONT/sibilant__	USE_FRONT/CC__	USE_BACK/[C0i:C0]__
szudegziszt	szudegzisztnek	1	1	0	0	0	0	0	0	0	0	0
pebb	pebbnak	1	0	1	1	1	0	1	0	0	1	0
pebb	pebbnek	0	0	0	0	0	0	0	0	0	0	0
kálmuecc	kálmueccnak	1	0	1	1	1	0	0	0	1	1	0
kálmuecc	kálmueccnek	0	1	0	0	0	0	0	0	0	0	0
Totek	Toteknak	0	0	1	1	1	0	0	0	0	0	0
Totek	Toteknek	1	1	0	0	0	0	0	0	0	0	0
téll	téllnak	0	0	1	1	0	0	0	1	0	1	0
téll	téllnek	1	0	0	0	0	0	0	0	0	0	0
Csin	Csinnak	1	0	1	0	0	0	0	1	0	0	0
Csin	Csinnek	0	0	0	0	0	0	0	0	0	0	0
vatímís	vatímísnak	0	0	1	0	0	1	0	0	1	0	0
vatímís	vatímísnek	1	1	0	0	0	0	0	0	0	0	0
tibb	tibbnak	0	0	1	0	0	0	1	0	0	1	0
tibb	tibbnek	1	0	0	0	0	0	0	0	0	0	0
szanlép	szanlépnak	0	0	1	1	0	0	1	0	0	0	0
szanlép	szanlépnek	1	1	0	0	0	0	0	0	0	0	0
Fone	Fonenak	1	0	1	1	1	0	0	0	0	0	0
Fone	Fonenek	0	1	0	0	0	0	0	0	0	0	0
Azép	Azépnak	0	0	1	1	0	0	1	0	0	0	0
Azép	Azépnek	1	1	0	0	0	0	0	0	0	0	0
Tópecc	Tópeccnak	0	0	1	1	1	0	0	0	1	1	0
Tópecc	Tópeccnek	1	1	0	0	0	0	0	0	0	0	0
Órmétt	Órméttnak	0	0	1	1	0	0	0	0	0	1	0
Órmétt	Órméttnek	1	1	0	0	0	0	0	0	0	0	0
spámés	spámésnak	1	0	1	1	0	0	0	0	1	0	0
spámés	spámésnek	0	1	0	0	0	0	0	0	0	0	0
étt	éttnak	0	0	1	1	0	0	0	0	0	1	0
étt	éttnek	1	0	0	0	0	0	0	0	0	0	0
nudil	nudilnak	1	0	1	0	0	0	0	1	0	0	0
nudil	nudilnek	0	1	0	0	0	0	0	0	0	0	0
Tálvedins	Tálvedinsnak	0	0	1	0	0	1	0	0	1	1	0
Tálvedins	Tálvedinsnek	1	1	0	0	0	0	0	0	0	0	0
astény	asténynak	0	0	1	1	0	0	0	1	0	0	0
astény	asténynek	1	1	0	0	0	0	0	0	0	0	0
Natelt	Nateltnak	0	0	1	1	1	0	0	0	0	1	0
Natelt	Nateltnek	1	1	0	0	0	0	0	0	0	0	0
házes	házesnak	0	0	1	1	1	0	0	0	1	0	0
házes	házesnek	1	1	0	0	0	0	0	0	0	0	0
vuvsé	vuvsénak	1	0	1	1	0	0	0	0	0	0	0
vuvsé	vuvsének	0	1	0	0	0	0	0	0	0	0	0
csokém	csokémnak	0	0	1	1	0	0	1	0	0	0	0
csokém	csokémnek	1	1	0	0	0	0	0	0	0	0	0
Hovill	Hovillnak	0	0	1	0	0	0	0	1	0	1	0
Hovill	Hovillnek	1	1	0	0	0	0	0	0	0	0	0
Vejj	Vejjnak	1	0	1	1	1	0	0	0	0	1	0
Vejj	Vejjnek	0	0	0	0	0	0	0	0	0	0	0
Ókagymébb	Ókagymébbnak	1	0	1	1	0	0	1	0	0	1	0
Ókagymébb	Ókagymébbnek	0	1	0	0	0	0	0	0	0	0	0
Fakteny	Faktenynak	0	0	1	1	1	0	0	1	0	0	0
Fakteny	Faktenynek	1	1	0	0	0	0	0	0	0	0	0
csis	csisnak	0	0	1	0	0	0	0	0	1	0	0
csis	csisnek	1	0	0	0	0	0	0	0	0	0	0
másszodib	másszodibnak	0	0	1	0	0	0	1	0	0	0	0
másszodib	másszodibnek	1	1	0	0	0	0	0	0	0	0	0
kází	kázínak	1	0	1	0	0	0	0	0	0	0	0
kází	kázínek	0	1	0	0	0	0	0	0	0	0	0
Kartegik	Kartegiknak	1	0	1	0	0	1	0	0	0	0	0
Kartegik	Kartegiknek	0	1	0	0	0	0	0	0	0	0	0
zsí	zsínak	0	0	1	0	0	0	0	0	0	0	0
zsí	zsínek	1	0	0	0	0	0	0	0	0	0	1
Fupel	Fupelnak	0	0	1	1	1	0	0	1	0	0	0
Fupel	Fupelnek	1	1	0	0	0	0	0	0	0	0	0
mósztalzibb	mósztalzibbnak	1	0	1	0	0	0	1	0	0	1	0
mósztalzibb	mósztalzibbnek	0	1	0	0	0	0	0	0	0	0	0
szakem	szakemnak	1	0	1	1	1	0	1	0	0	0	0
szakem	szakemnek	0	1	0	0	0	0	0	0	0	0	0
Elt	Eltnak	1	0	1	1	1	0	0	0	0	1	0
Elt	Eltnek	0	0	0	0	0	0	0	0	0	0	0
Nyalefles	Nyaleflesnak	1	0	1	1	1	1	0	0	1	0	0
Nyalefles	Nyaleflesnek	0	1	0	0	0	0	0	0	0	0	0
Mitt	Mittnak	1	0	1	0	0	0	0	0	0	1	0
Mitt	Mittnek	0	0	0	0	0	0	0	0	0	0	0
Kádserc	Kádsercnak	1	0	1	1	1	0	0	0	1	1	0
Kádserc	Kádsercnek	0	1	0	0	0	0	0	0	0	0	0
tárkíszvém	tárkíszvémnak	1	0	1	1	0	1	1	0	0	0	0
tárkíszvém	tárkíszvémnek	0	1	0	0	0	0	0	0	0	0	0
acses	acsesnak	0	0	1	1	1	0	0	0	1	0	0
acses	acsesnek	1	1	0	0	0	0	0	0	0	0	0
rel	relnak	1	0	1	1	1	0	0	1	0	0	0
rel	relnek	0	0	0	0	0	0	0	0	0	0	0
admepill	admepillnak	1	0	1	0	0	1	0	1	0	1	0
admepill	admepillnek	0	1	0	0	0	0	0	0	0	0	0
Áges	Ágesnak	0	0	1	1	1	0	0	0	1	0	0
Áges	Ágesnek	1	1	0	0	0	0	0	0	0	0	0
hudém	hudémnak	1	0	1	1	0	0	1	0	0	0	0
hudém	hudémnek	0	1	0	0	0	0	0	0	0	0	0
Talend	Talendnak	0	0	1	1	1	0	0	0	0	1	0
Talend	Talendnek	1	1	0	0	0	0	0	0	0	0	0
hándég	hándégnak	1	0	1	1	0	0	0	0	0	0	0
hándég	hándégnek	0	1	0	0	0	0	0	0	0	0	0
ókénc	ókéncnak	0	0	1	1	0	0	0	0	1	1	0
ókénc	ókéncnek	1	1	0	0	0	0	0	0	0	0	0
Landírd	Landírdnak	1	0	1	0	0	0	0	0	0	1	0
Landírd	Landírdnek	0	1	0	0	0	0	0	0	0	0	0
zsopekses	zsopeksesnak	0	0	1	1	1	1	0	0	1	0	0
zsopekses	zsopeksesnek	1	1	0	0	0	0	0	0	0	0	0
motérill	motérillnak	0	0	1	0	0	1	0	1	0	1	0
motérill	motérillnek	1	1	0	0	0	0	0	0	0	0	0
Fázdir	Fázdirnak	1	0	1	0	0	0	0	1	0	0	0
Fázdir	Fázdirnek	0	1	0	0	0	0	0	0	0	0	0
Bótáredt	Bótáredtnak	1	0	1	1	1	0	0	0	0	1	0
Bótáredt	Bótáredtnek	0	1	0	0	0	0	0	0	0	0	0
Usmen	Usmennak	0	0	1	1	1	0	0	1	0	0	0
Usmen	Usmennek	1	1	0	0	0	0	0	0	0	0	0
Halijn	Halijnnak	0	0	1	0	0	0	0	1	0	1	0
Halijn	Halijnnek	1	1	0	0	0	0	0	0	0	0	0
Jadém	Jadémnak	1	0	1	1	0	0	1	0	0	0	0
Jadém	Jadémnek	0	1	0	0	0	0	0	0	0	0	0
artyántil	artyántilnak	1	0	1	0	0	0	0	1	0	0	0
artyántil	artyántilnek	0	1	0	0	0	0	0	0	0	0	0
szalhárécc	szalháréccnak	0	0	1	1	0	0	0	0	1	1	0
szalhárécc	szalháréccnek	1	1	0	0	0	0	0	0	0	0	0
Szoséterb	Szoséterbnak	0	0	1	1	1	1	1	0	0	1	0
Szoséterb	Szoséterbnek	1	1	0	0	0	0	0	0	0	0	0
kadeszind	kadeszindnak	1	0	1	0	0	1	0	0	0	1	0
kadeszind	kadeszindnek	0	1	0	0	0	0	0	0	0	0	0
Ém	Émnak	1	0	1	1	0	0	1	0	0	0	0
Ém	Émnek	0	0	0	0	0	0	0	0	0	0	0
uzezzés	uzezzésnak	1	0	1	1	0	1	0	0	1	0	0
uzezzés	uzezzésnek	0	1	0	0	0	0	0	0	0	0	0
akhim	akhimnak	1	0	1	0	0	0	1	0	0	0	0
akhim	akhimnek	0	1	0	0	0	0	0	0	0	0	0
ráltényé	ráltényénak	1	0	1	1	0	1	0	0	0	0	0
ráltényé	ráltényének	0	1	0	0	0	0	0	0	0	0	0
kóde	kódenak	1	0	1	1	1	0	0	0	0	0	0
kóde	kódenek	0	1	0	0	0	0	0	0	0	0	0
akimé	akiménak	0	0	1	1	0	1	0	0	0	0	0
akimé	akimének	1	1	0	0	0	0	0	0	0	0	0
hárakem	hárakemnak	1	0	1	1	1	0	1	0	0	0	0
hárakem	hárakemnek	0	1	0	0	0	0	0	0	0	0	0
tolett	tolettnak	0	0	1	1	1	0	0	0	0	1	0
tolett	tolettnek	1	1	0	0	0	0	0	0	0	0	0
Prett	Prettnak	1	0	1	1	1	0	0	0	0	1	0
Prett	Prettnek	0	0	0	0	0	0	0	0	0	0	0
Szodrísszher	Szodrísszhernak	0	0	1	1	1	1	0	1	0	0	0
Szodrísszher	Szodrísszhernek	1	1	0	0	0	0	0	0	0	0	0
Cir	Cirnak	0	0	1	0	0	0	0	1	0	0	0
Cir	Cirnek	1	0	0	0	0	0	0	0	0	0	0
Gyasztep	Gyasztepnak	0	0	1	1	1	0	1	0	0	0	0
Gyasztep	Gyasztepnek	1	1	0	0	0	0	0	0	0	0	0
Vureldern	Vureldernnak	0	0	1	1	1	1	0	1	0	1	0
Vureldern	Vureldernnek	1	1	0	0	0	0	0	0	0	0	0
Vórmámlés	Vórmámlésnak	0	0	1	1	0	0	0	0	1	0	0
Vórmámlés	Vórmámlésnek	1	1	0	0	0	0	0	0	0	0	0
Vensz	Vensznak	0	0	1	1	1	0	0	0	1	1	0
Vensz	Vensznek	1	0	0	0	0	0	0	0	0	0	0
csandendes	csandendesnak	0	0	1	1	1	1	0	0	1	0	0
csandendes	csandendesnek	1	1	0	0	0	0	0	0	0	0	0
nen	nennak	0	0	1	1	1	0	0	1	0	0	0
nen	nennek	1	0	0	0	0	0	0	0	0	0	0
Málle	Mállenak	1	0	1	1	1	0	0	0	0	0	0
Málle	Mállenek	0	1	0	0	0	0	0	0	0	0	0
kébb	kébbnak	0	0	1	1	0	0	1	0	0	1	0
kébb	kébbnek	1	0	0	0	0	0	0	0	0	0	0
boszébb	boszébbnak	0	0	1	1	0	0	1	0	0	1	0
boszébb	boszébbnek	1	1	0	0	0	0	0	0	0	0	0
kovahés	kovahésnak	1	0	1	1	0	0	0	0	1	0	0
kovahés	kovahésnek	0	1	0	0	0	0	0	0	0	0	0
kungodét	kungodétnak	0	0	1	1	0	0	0	0	0	0	0
kungodét	kungodétnek	1	1	0	0	0	0	0	0	0	0	0
Turreszlins	Turreszlinsnak	0	0	1	0	0	1	0	0	1	1	0
Turreszlins	Turreszlinsnek	1	1	0	0	0	0	0	0	0	0	0
zsim	zsimnak	1	0	1	0	0	0	1	0	0	0	0
zsim	zsimnek	0	0	0	0	0	0	0	0	0	0	0
Kazmegd	Kazmegdnak	1	0	1	1	1	0	0	0	0	1	0
Kazmegd	Kazmegdnek	0	1	0	0	0	0	0	0	0	0	0
hél	hélnak	1	0	1	1	0	0	0	1	0	0	0
hél	hélnek	0	0	0	0	0	0	0	0	0	0	0
szállebb	szállebbnak	0	0	1	1	1	0	1	0	0	1	0
szállebb	szállebbnek	1	1	0	0	0	0	0	0	0	0	0
fí	fínak	0	0	1	0	0	0	0	0	0	0	0
fí	fínek	1	0	0	0	0	0	0	0	0	0	1
Salyóltém	Salyóltémnak	0	0	1	1	0	0	1	0	0	0	0
Salyóltém	Salyóltémnek	1	1	0	0	0	0	0	0	0	0	0
Horéll	Horéllnak	1	0	1	1	0	0	0	1	0	1	0
Horéll	Horéllnek	0	1	0	0	0	0	0	0	0	0	0
Vuguzé	Vuguzénak	1	0	1	1	0	0	0	0	0	0	0
Vuguzé	Vuguzének	0	1	0	0	0	0	0	0	0	0	0
Cávés	Cávésnak	0	0	1	1	0	0	0	0	1	0	0
Cávés	Cávésnek	1	1	0	0	0	0	0	0	0	0	0
titt	tittnak	1	0	1	0	0	0	0	0	0	1	0
titt	tittnek	0	0	0	0	0	0	0	0	0	0	0
dálmés	dálmésnak	0	0	1	1	0	0	0	0	1	0	0
dálmés	dálmésnek	1	1	0	0	0	0	0	0	0	0	0
jógobel	jógobelnak	1	0	1	1	1	0	0	1	0	0	0
jógobel	jógobelnek	0	1	0	0	0	0	0	0	0	0	0
Szatés	Szatésnak	0	0	1	1	0	0	0	0	1	0	0
Szatés	Szatésnek	1	1	0	0	0	0	0	0	0	0	0
gény	génynak	1	0	1	1	0	0	0	1	0	0	0
gény	génynek	0	0	0	0	0	0	0	0	0	0	0
Fólkúlén	Fólkúlénnak	1	0	1	1	0	0	0	1	0	0	0
Fólkúlén	Fólkúlénnek	0	1	0	0	0	0	0	0	0	0	0
csarim	csarimnak	0	0	1	0	0	0	1	0	0	0	0
csarim	csarimnek	1	1	0	0	0	0	0	0	0	0	0
tóstins	tóstinsnak	0	0	1	0	0	0	0	0	1	1	0
tóstins	tóstinsnek	1	1	0	0	0	0	0	0	0	0	0
állém	állémnak	1	0	1	1	0	0	1	0	0	0	0
állém	állémnek	0	1	0	0	0	0	0	0	0	0	0
Fuidett	Fuidettnak	1	0	1	1	1	1	0	0	0	1	0
Fuidett	Fuidettnek	0	1	0	0	0	0	0	0	0	0	0
Fozdene	Fozdenenak	1	0	1	1	1	1	0	0	0	0	0
Fozdene	Fozdenenek	0	1	0	0	0	0	0	0	0	0	0
Tédt	Tédtnak	0	0	1	1	0	0	0	0	0	1	0
Tédt	Tédtnek	1	0	0	0	0	0	0	0	0	0	0
Ákapelp	Ákapelpnak	0	0	1	1	1	0	1	0	0	1	0
Ákapelp	Ákapelpnek	1	1	0	0	0	0	0	0	0	0	0
pullatill	pullatillnak	0	0	1	0	0	0	0	1	0	1	0
pullatill	pullatillnek	1	1	0	0	0	0	0	0	0	0	0
ís	ísnak	1	0	1	0	0	0	0	0	1	0	0
ís	ísnek	0	0	0	0	0	0	0	0	0	0	1
teg	tegnak	0	0	1	1	1	0	0	0	0	0	0
teg	tegnek	1	0	0	0	0	0	0	0	0	0	0
Brodilze	Brodilzenak	1	0	1	1	1	1	0	0	0	0	0
Brodilze	Brodilzenek	0	1	0	0	0	0	0	0	0	0	0
csandonzeb	csandonzebnak	0	0	1	1	1	0	1	0	0	0	0
csandonzeb	csandonzebnek	1	1	0	0	0	0	0	0	0	0	0
Tokin	Tokinnak	1	0	1	0	0	0	0	1	0	0	0
Tokin	Tokinnek	0	1	0	0	0	0	0	0	0	0	0
síst	sístnak	0	0	1	0	0	0	0	0	0	1	0
síst	sístnek	1	0	0	0	0	0	0	0	0	0	1
szógegibb	szógegibbnak	0	0	1	0	0	1	1	0	0	1	0
szógegibb	szógegibbnek	1	1	0	0	0	0	0	0	0	0	0
gambem	gambemnak	1	0	1	1	1	0	1	0	0	0	0
gambem	gambemnek	0	1	0	0	0	0	0	0	0	0	0
Dáéljérr	Dáéljérrnak	0	0	1	1	0	1	0	1	0	1	0
Dáéljérr	Dáéljérrnek	1	1	0	0	0	0	0	0	0	0	0
Gyantes	Gyantesnak	0	0	1	1	1	0	0	0	1	0	0
Gyantes	Gyantesnek	1	1	0	0	0	0	0	0	0	0	0
Tert	Tertnak	0	0	1	1	1	0	0	0	0	1	0
Tert	Tertnek	1	0	0	0	0	0	0	0	0	0	0
Dáhulény	Dáhulénynak	1	0	1	1	0	0	0	1	0	0	0
Dáhulény	Dáhulénynek	0	1	0	0	0	0	0	0	0	0	0
éssz	éssznak	1	0	1	1	0	0	0	0	1	1	0
éssz	éssznek	0	0	0	0	0	0	0	0	0	0	0
báragzit	báragzitnak	0	0	1	0	0	0	0	0	0	0	0
báragzit	báragzitnek	1	1	0	0	0	0	0	0	0	0	0
karvés	karvésnak	0	0	1	1	0	0	0	0	1	0	0
karvés	karvésnek	1	1	0	0	0	0	0	0	0	0	0
Eg	Egnak	1	0	1	1	1	0	0	0	0	0	0
Eg	Egnek	0	0	0	0	0	0	0	0	0	0	0
dátrirzin	dátrirzinnak	0	0	1	0	0	1	0	1	0	0	0
dátrirzin	dátrirzinnek	1	1	0	0	0	0	0	0	0	0	0
Adebb	Adebbnak	1	0	1	1	1	0	1	0	0	1	0
Adebb	Adebbnek	0	1	0	0	0	0	0	0	0	0	0
enny	ennynak	0	0	1	1	1	0	0	1	0	1	0
enny	ennynek	1	0	0	0	0	0	0	0	0	0	0
udlotép	udlotépnak	0	0	1	1	0	0	1	0	0	0	0
udlotép	udlotépnek	1	1	0	0	0	0	0	0	0	0	0
kápkenk	kápkenknak	1	0	1	1	1	0	0	0	0	1	0
kápkenk	kápkenknek	0	1	0	0	0	0	0	0	0	0	0
Zózóreny	Zózórenynak	0	0	1	1	1	0	0	1	0	0	0
Zózóreny	Zózórenynek	1	1	0	0	0	0	0	0	0	0	0
Túrmes	Túrmesnak	1	0	1	1	1	0	0	0	1	0	0
Túrmes	Túrmesnek	0	1	0	0	0	0	0	0	0	0	0
Bájmém	Bájmémnak	1	0	1	1	0	0	1	0	0	0	0
Bájmém	Bájmémnek	0	1	0	0	0	0	0	0	0	0	0
Tanird	Tanirdnak	0	0	1	0	0	0	0	0	0	1	0
Tanird	Tanirdnek	1	1	0	0	0	0	0	0	0	0	0
súes	súesnak	0	0	1	1	1	0	0	0	1	0	0
súes	súesnek	1	1	0	0	0	0	0	0	0	0	0
jamokénc	jamokéncnak	0	0	1	1	0	0	0	0	1	1	0
jamokénc	jamokéncnek	1	1	0	0	0	0	0	0	0	0	0
jarli	jarlinak	0	0	1	0	0	0	0	0	0	0	0
jarli	jarlinek	1	1	0	0	0	0	0	0	0	0	0
Rabutén	Rabuténnak	1	0	1	1	0	0	0	1	0	0	0
Rabutén	Rabuténnek	0	1	0	0	0	0	0	0	0	0	0
fragyem	fragyemnak	1	0	1	1	1	0	1	0	0	0	0
fragyem	fragyemnek	0	1	0	0	0	0	0	0	0	0	0
Káralill	Káralillnak	1	0	1	0	0	0	0	1	0	1	0
Káralill	Káralillnek	0	1	0	0	0	0	0	0	0	0	0
kétt	kéttnak	1	0	1	1	0	0	0	0	0	1	0
kétt	kéttnek	0	0	0	0	0	0	0	0	0	0	0
ongolje	ongoljenak	1	0	1	1	1	0	0	0	0	0	0
ongolje	ongoljenek	0	1	0	0	0	0	0	0	0	0	0
kvátápíny	kvátápínynak	0	0	1	0	0	0	0	1	0	0	0
kvátápíny	kvátápínynek	1	1	0	0	0	0	0	0	0	0	0
Kalubenz	Kalubenznak	1	0	1	1	1	0	0	0	1	1	0
Kalubenz	Kalubenznek	0	1	0	0	0	0	0	0	0	0	0
Banazebb	Banazebbnak	1	0	1	1	1	0	1	0	0	1	0
Banazebb	Banazebbnek	0	1	0	0	0	0	0	0	0	0	0
Pranfárte	Pranfártenak	1	0	1	1	1	0	0	0	0	0	0
Pranfárte	Pranfártenek	0	1	0	0	0	0	0	0	0	0	0
Fólerserj	Fólerserjnak	1	0	1	1	1	1	0	0	0	1	0
Fólerserj	Fólerserjnek	0	1	0	0	0	0	0	0	0	0	0
kíb	kíbnak	1	0	1	0	0	0	1	0	0	0	0
kíb	kíbnek	0	0	0	0	0	0	0	0	0	0	1
nyadis	nyadisnak	1	0	1	0	0	0	0	0	1	0	0
nyadis	nyadisnek	0	1	0	0	0	0	0	0	0	0	0
mutórisz	mutórisznak	0	0	1	0	0	0	0	0	1	0	0
mutórisz	mutórisznek	1	1	0	0	0	0	0	0	0	0	0
Correrém	Correrémnak	1	0	1	1	0	1	1	0	0	0	0
Correrém	Correrémnek	0	1	0	0	0	0	0	0	0	0	0
keg	kegnak	0	0	1	1	1	0	0	0	0	0	0
keg	kegnek	1	0	0	0	0	0	0	0	0	0	0
Atadeng	Atadengnak	1	0	1	1	1	0	0	0	0	1	0
Atadeng	Atadengnek	0	1	0	0	0	0	0	0	0	0	0
adónís	adónísnak	0	0	1	0	0	0	0	0	1	0	0
adónís	adónísnek	1	1	0	0	0	0	0	0	0	0	0
rily	rilynak	1	0	1	0	0	0	0	0	0	0	0
rily	rilynek	0	0	0	0	0	0	0	0	0	0	0
kómem	kómemnak	0	0	1	1	1	0	1	0	0	0	0
kómem	kómemnek	1	1	0	0	0	0	0	0	0	0	0
Vosztelirn	Vosztelirnnak	1	0	1	0	0	1	0	1	0	1	0
Vosztelirn	Vosztelirnnek	0	1	0	0	0	0	0	0	0	0	0
Vúgyites	Vúgyitesnak	0	0	1	1	1	1	0	0	1	0	0
Vúgyites	Vúgyitesnek	1	1	0	0	0	0	0	0	0	0	0
Notkejzs	Notkejzsnak	1	0	1	1	1	0	0	0	1	1	0
Notkejzs	Notkejzsnek	0	1	0	0	0	0	0	0	0	0	0
Dánén	Dánénnak	0	0	1	1	0	0	0	1	0	0	0
Dánén	Dánénnek	1	1	0	0	0	0	0	0	0	0	0
topjin	topjinnak	0	0	1	0	0	0	0	1	0	0	0
topjin	topjinnek	1	1	0	0	0	0	0	0	0	0	0
akunzend	akunzendnak	1	0	1	1	1	0	0	0	0	1	0
akunzend	akunzendnek	0	1	0	0	0	0	0	0	0	0	0
botemm	botemmnak	0	0	1	1	1	0	1	0	0	1	0
botemm	botemmnek	1	1	0	0	0	0	0	0	0	0	0
Apcesérn	Apcesérnnak	1	0	1	1	0	1	0	1	0	1	0
Apcesérn	Apcesérnnek	0	1	0	0	0	0	0	0	0	0	0
bikt	biktnak	0	0	1	0	0	0	0	0	0	1	0
bikt	biktnek	1	0	0	0	0	0	0	0	0	0	0
Ogózéb	Ogózébnak	0	0	1	1	0	0	1	0	0	0	0
Ogózéb	Ogózébnek	1	1	0	0	0	0	0	0	0	0	0
nyopeny	nyopenynak	1	0	1	1	1	0	0	1	0	0	0
nyopeny	nyopenynek	0	1	0	0	0	0	0	0	0	0	0
kogybis	kogybisnak	0	0	1	0	0	0	0	0	1	0	0
kogybis	kogybisnek	1	1	0	0	0	0	0	0	0	0	0
anzílc	anzílcnak	1	0	1	0	0	0	0	0	1	1	0
anzílc	anzílcnek	0	1	0	0	0	0	0	0	0	0	0
Nyem	Nyemnak	1	0	1	1	1	0	1	0	0	0	0
Nyem	Nyemnek	0	0	0	0	0	0	0	0	0	0	0
Hátrín	Hátrínnak	0	0	1	0	0	0	0	1	0	0	0
Hátrín	Hátrínnek	1	1	0	0	0	0	0	0	0	0	0
Hónes	Hónesnak	0	0	1	1	1	0	0	0	1	0	0
Hónes	Hónesnek	1	1	0	0	0	0	0	0	0	0	0
Szibb	Szibbnak	1	0	1	0	0	0	1	0	0	1	0
Szibb	Szibbnek	0	0	0	0	0	0	0	0	0	0	0
ókezge	ókezgenak	1	0	1	1	1	1	0	0	0	0	0
ókezge	ókezgenek	0	1	0	0	0	0	0	0	0	0	0
tetty	tettynak	0	0	1	1	1	0	0	0	0	1	0
tetty	tettynek	1	0	0	0	0	0	0	0	0	0	0
atálek	atáleknak	0	0	1	1	1	0	0	0	0	0	0
atálek	atáleknek	1	1	0	0	0	0	0	0	0	0	0
Milcs	Milcsnak	1	0	1	0	0	0	0	0	1	1	0
Milcs	Milcsnek	0	0	0	0	0	0	0	0	0	0	0
hafséb	hafsébnak	1	0	1	1	0	0	1	0	0	0	0
hafséb	hafsébnek	0	1	0	0	0	0	0	0	0	0	0
Jádin	Jádinnak	0	0	1	0	0	0	0	1	0	0	0
Jádin	Jádinnek	1	1	0	0	0	0	0	0	0	0	0
nin	ninnak	0	0	1	0	0	0	0	1	0	0	0
nin	ninnek	1	0	0	0	0	0	0	0	0	0	0
konátís	konátísnak	1	0	1	0	0	0	0	0	1	0	0
konátís	konátísnek	0	1	0	0	0	0	0	0	0	0	0
rikt	riktnak	0	0	1	0	0	0	0	0	0	1	0
rikt	riktnek	1	0	0	0	0	0	0	0	0	0	0
Mágodék	Mágodéknak	1	0	1	1	0	0	0	0	0	0	0
Mágodék	Mágodéknek	0	1	0	0	0	0	0	0	0	0	0
Trés	Trésnak	1	0	1	1	0	0	0	0	1	0	0
Trés	Trésnek	0	0	0	0	0	0	0	0	0	0	0
Coltozzim	Coltozzimnak	0	0	1	0	0	0	1	0	0	0	0
Coltozzim	Coltozzimnek	1	1	0	0	0	0	0	0	0	0	0
Konzérr	Konzérrnak	1	0	1	1	0	0	0	1	0	1	0
Konzérr	Konzérrnek	0	1	0	0	0	0	0	0	0	0	0
vébb	vébbnak	1	0	1	1	0	0	1	0	0	1	0
vébb	vébbnek	0	0	0	0	0	0	0	0	0	0	0
táimlet	táimletnak	1	0	1	1	1	1	0	0	0	0	0
táimlet	táimletnek	0	1	0	0	0	0	0	0	0	0	0
orkitt	orkittnak	1	0	1	0	0	0	0	0	0	1	0
orkitt	orkittnek	0	1	0	0	0	0	0	0	0	0	0
Nótykólsen	Nótykólsennak	0	0	1	1	1	0	0	1	0	0	0
Nótykólsen	Nótykólsennek	1	1	0	0	0	0	0	0	0	0	0
kúrgakém	kúrgakémnak	0	0	1	1	0	0	1	0	0	0	0
kúrgakém	kúrgakémnek	1	1	0	0	0	0	0	0	0	0	0
Kardég	Kardégnak	1	0	1	1	0	0	0	0	0	0	0
Kardég	Kardégnek	0	1	0	0	0	0	0	0	0	0	0
tokik	tokiknak	1	0	1	0	0	0	0	0	0	0	0
tokik	tokiknek	0	1	0	0	0	0	0	0	0	0	0
masztátkis	masztátkisnak	1	0	1	0	0	0	0	0	1	0	0
masztátkis	masztátkisnek	0	1	0	0	0	0	0	0	0	0	0
rákalett	rákalettnak	1	0	1	1	1	0	0	0	0	1	0
rákalett	rákalettnek	0	1	0	0	0	0	0	0	0	0	0
Tasszes	Tasszesnak	1	0	1	1	1	0	0	0	1	0	0
Tasszes	Tasszesnek	0	1	0	0	0	0	0	0	0	0	0
Aszentebb	Aszentebbnak	1	0	1	1	1	1	1	0	0	1	0
Aszentebb	Aszentebbnek	0	1	0	0	0	0	0	0	0	0	0
Dáréll	Dáréllnak	0	0	1	1	0	0	0	1	0	1	0
Dáréll	Dáréllnek	1	1	0	0	0	0	0	0	0	0	0
Elt	Eltnak	1	0	1	1	1	0	0	0	0	1	0
Elt	Eltnek	0	0	0	0	0	0	0	0	0	0	0
ajtíep	ajtíepnak	1	0	1	1	1	1	1	0	0	0	0
ajtíep	ajtíepnek	0	1	0	0	0	0	0	0	0	0	0
kénc	kéncnak	1	0	1	1	0	0	0	0	1	1	0
kénc	kéncnek	0	0	0	0	0	0	0	0	0	0	0
friny	frinynak	1	0	1	0	0	0	0	1	0	0	0
friny	frinynek	0	0	0	0	0	0	0	0	0	0	0
Rékt	Réktnak	0	0	1	1	0	0	0	0	0	1	0
Rékt	Réktnek	1	0	0	0	0	0	0	0	0	0	0
spés	spésnak	0	0	1	1	0	0	0	0	1	0	0
spés	spésnek	1	0	0	0	0	0	0	0	0	0	0
Fem	Femnak	0	0	1	1	1	0	1	0	0	0	0
Fem	Femnek	1	0	0	0	0	0	0	0	0	0	0
rómattér	rómattérnak	0	0	1	1	0	0	0	1	0	0	0
rómattér	rómattérnek	1	1	0	0	0	0	0	0	0	0	0
kebb	kebbnak	1	0	1	1	1	0	1	0	0	1	0
kebb	kebbnek	0	0	0	0	0	0	0	0	0	0	0
lér	lérnak	1	0	1	1	0	0	0	1	0	0	0
lér	lérnek	0	0	0	0	0	0	0	0	0	0	0
